41299;#doc=soc_project.2.txt;;;;;;;;;;;;;;
41300;1;﻿;﻿;PUNC;;;;;;;;;PUNC;﻿;PUNC
41301;2;Интервьюер;ИНТЕРВЬЮЕР;S m-f anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m-f anim nom sg
41302;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41303;4;Ммм;МММ;NONLEX;;;м;м;м;;;;S;МММ;NONLEX
41304;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41305;6;давай;ДАВАТЬ;V ipf - sg imper - 2p;;;й;а;в;а;д;;V;ДАВАТЬ;V ipf - sg imper - 2p
41306;7;поговорим;ПОГОВОРИТЬ;V pf - pl imper - 1p;;;м;и;р;о;в;о;V;ПОГОВОРИТЬ;V pf - pl imper - 1p
41307;8;о;О;PR;;;о;;;;;;PR;О;PR
41308;9;спорте;СПОРТ;S m inan loc sg;;;е;т;р;о;п;с;S;СПОРТ;S m inan loc sg
41309;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41310;11;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
41311;12;.;.;SENT;;;;;;;;;SENT;.;SENT
41312;;;;;;;;;;;;;;;
41313;1;А именно;А именно;ZERO;;;о;н;н;е;м;и;ZERO;А именно;ZERO
41314;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41315;3;расскажи;РАССКАЗАТЬ;V pf - sg imper - 2p;;;и;ж;а;к;с;с;V;РАССКАЗАТЬ;V pf - sg imper - 2p
41316;4;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
41317;5;пожалуйста;ПОЖАЛУЙСТА;PART;;;а;т;с;й;у;л;PART;ПОЖАЛУЙСТА;PART
41318;6;о;О;PR;;;о;;;;;;PR;О;PR
41319;7;своем;СВОЙ;APRO - loc sg plen m -;;;м;е;о;в;с;;APRO;СВОЙ;APRO - loc sg plen m -
41320;8;любимом;ЛЮБИМЫЙ;A - loc sg plen m -;;;м;о;м;и;б;ю;A;ЛЮБИМЫЙ;A - loc sg plen m -
41321;9;виде;ВИД;S m inan loc sg;;;е;д;и;в;;;S;ВИД;S m inan loc sg
41322;10;спорта;СПОРТ;S m inan gen sg;;;а;т;р;о;п;с;S;СПОРТ;S m inan gen sg
41323;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41324;12;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
41325;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41326;14;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41327;15;почему;ПОЧЕМУ;ADV -;;;у;м;е;ч;о;п;ADV;ПОЧЕМУ;ADV -
41328;16;именно;ИМЕННО;PART;;;о;н;н;е;м;и;PART;ИМЕННО;PART
41329;17;этот;ЭТОТ;APRO - nom sg plen m -;;;т;о;т;э;;;APRO;ЭТОТ;APRO - nom sg plen m -
41330;18;вид;ВИД;S m inan nom sg;;;д;и;в;;;;S;ВИД;S m inan nom sg
41331;19;спорта;СПОРТ;S m inan gen sg;;;а;т;р;о;п;с;S;СПОРТ;S m inan gen sg
41332;20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41333;21;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
41334;22;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41335;23;другой;ДРУГОЙ;A - nom sg plen m -;;;й;о;г;у;р;д;A;ДРУГОЙ;A - nom sg plen m -
41336;24;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41337;25;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
41338;26;тебе;ТЫ;SPRO sg 2p - loc;;;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - loc
41339;27;в;В;PR;;;в;;;;;;PR;В;PR
41340;28;нем;ОН;SPRO - sg 3p - loc;;;м;е;н;;;;SPRO;ОН;SPRO - sg 3p - loc
41341;29;нравится;НРАВИТЬСЯ;V ipf praes sg indic - 2p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 2p
41342;30;?;?;SENT;;;;;;;;;SENT;?;SENT
41343;;;;;;;;;;;;;;;
41344;1;Владимир;ВЛАДИМИР;persn;;;р;и;м;и;д;а;persn;ВЛАДИМИР;persn
41345;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41346;3;Ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
41347;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41348;5;если;ЕСЛИ;CONJ;;;и;л;с;е;;;CONJ;ЕСЛИ;CONJ
41349;6;говорить;ГОВОРИТЬ;V ipf - - inf - -;;;ь;т;и;р;о;в;V;ГОВОРИТЬ;V ipf - - inf - -
41350;7;о;О;PR;;;о;;;;;;PR;О;PR
41351;8;том;ТО;ADVPRO;;;м;о;т;;;;ADVPRO;ТО;ADVPRO
41352;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41353;10;чём;ЧТО;SPRO;;;м;ё;ч;;;;SPRO;ЧТО;SPRO
41354;11;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
41355;12;сам;САМ;A - nom sg plen m -;;;м;а;с;;;;A;САМ;A - nom sg plen m -
41356;13;непосредственно;НЕПОСРЕДСТВЕННО;ADV -;;;о;н;н;е;в;т;ADV;НЕПОСРЕДСТВЕННО;ADV -
41357;14;занимаюсь;ЗАНИМАТЬСЯ;V ipf praes sg indic - 1p;;;ь;с;ю;а;м;и;V;ЗАНИМАТЬСЯ;V ipf praes sg indic - 1p
41358;15;это;ЭТО;S n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
41359;16;так;ТАК;ADV -;;;к;а;т;;;;ADV;ТАК;ADV -
41360;17;называемая;НАЗЫВАТЬ;PARTCP ipf inpraes nom sg plen f pass -;;;я;а;м;е;а;в;PARTCP;НАЗЫВАТЬ;PARTCP ipf inpraes nom sg plen f pass -
41361;18;классическая;КЛАССИЧЕСКИЙ;A - nom sg plen f -;;;я;а;к;с;е;ч;A;КЛАССИЧЕСКИЙ;A - nom sg plen f -
41362;19;качалка;КАЧАЛКА;S f inan nom sg;;;а;к;л;а;ч;а;S;КАЧАЛКА;S f inan nom sg
41363;20;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
41364;21;бодибилдинг;БОДИБИЛДИНГ;S m inan acc sg;;;г;н;и;д;л;и;S;БОДИБИЛДИНГ;S m inan acc sg
41365;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41366;23;он;ОН;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom
41367;24;же;ЖЕ;PART;;;е;ж;;;;;PART;ЖЕ;PART
41368;25;культуризм;КУЛЬТУРИЗМ;S m inan acc sg;;;м;з;и;р;у;т;S;КУЛЬТУРИЗМ;S m inan acc sg
